Type ,Name ,Preparation Time ,Cook Time ,Total Time ,Servings,Ingredients ,Directions 
Mexican ,Slow Cooker Barbacoa ,10 mins,4 hrs, 4 hrs 10 mins,14,"Sauce Mix:  1/3 cup apple cider vinegar, 3 tablespoons lime juice, 4 chipotle peppers in adobo sauce, 4 teaspoons minced garlic, 4 teaspoons ground cumin, 4 teaspoons dried oregano, 1 teaspoon ground black pepper, 1 teaspoon salt, 1/2 teaspoon ground cloves, 1 (4 pound) chuck roast, 3/4 cup chicken broth, 3 bay leaves","Combine vinegar, lime juice, chipotle peppers, garlic, cumin, oregano, black pepper, salt, and cloves in a blender or food processor. Blend the sauce well. Place meat in a slow cooker and pour sauce on top. Add broth and bay leaves. Cover and cook on High for 4 to 6 hours without removing the lid."
Mexican ,Conchas (Sweet Mexican Bread),20 mins,20 mins( additional 1hr 45 mins),2 hrs 25 mins,12,"Bread:  1/2 warm water, 2 1/2 teaspoons yeast, 4 cups all-purpose flour, 1/2 cup evaporated milk, 3/8 cup white sugar, 1/3 cup butter, melted, 1 large egg, 1 teaspoon salt, 1/2 teaspoon ground cinnamon. Topping:     2/3 cup white sugar, 1/2 cup butter, softened, 1 cup all-purpose flour, 2 teaspoons ground cinnamon, 1 teaspoon vanilla extract","All ingredients are gathered to make Conchas. To make the bread: Stir warm water and yeast together in a large bowl; let stand until yeast softens and begins to form a creamy foam, about 5 minutes. Warm water and yeast stirred together in a mixing bowl. Mix in 2 cups flour, milk, sugar, melted butter, egg, and salt until combined. Flour, sugar, milk, melted butter, eggs, and salt mixed in. Gradually mix in the remaining 2 cups of flour and cinnamon until the dough comes together. Flour and cinnamon are gradually mixed in until the dough comes together. Turn dough out onto a floured surface and knead until smooth and elastic, 6 to 8 minutes. Place in a large greased bowl; turn dough to coat. Once kneaded until smooth and elastic, place in a large greased bowl. Cover and let rise in a warm place until doubled, about 1 hour. Dough covered and left to rise until doubled. Meanwhile, make the topping: Beat sugar and butter in a medium bowl with an electric mixer until light and fluffy. Sugar and butter are beaten in a bowl until light and fluffy. Stir in flour until a thick paste forms. Flour stirred in until a thick paste forms. Transfer 1/2 of the paste to a separate bowl. Mix cinnamon into one half and vanilla into the other half. The dough is divided into separate bowls, with cinnamon mixed in one and vanilla in the other. Divide dough into 12 equal pieces. Shape into balls and place 3 inches apart on a greased cookie sheet. Dough shaped into balls and placed on a baking sheet. Divide each bowl of topping into 6 balls; pat flat. Place circles of topping on top of dough balls, patting down lightly. Use a knife to cut grooves in the topping like a seashell. topping placed on each ball and slightly patted down, then grooves cut into each. Cover and let rise until doubled, about 45 minutes. Dough covered and let rise until doubled. Preheat the oven to 375 degrees F (190 degrees C). Bake in the preheated oven until lightly golden brown, about 20 minutes."
Mexican ,Instant Black Beans ,5 mins,35 mins ( additional 10 mins) ,50 mins,7,1 1/4 dry black beans,"Pour beans into a multi-functional pressure cooker (such as Instant Pot). Cover with a few inches of cool water. Close and lock the lid. Select Manual; set timer for 21 minutes on high pressure according to manufacturer's instructions. Allow 10 to 15 minutes for pressure to build. Release pressure using the natural-release method according to the manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid. Drain beans and let cool."
Mexican ,Albondigas,20 mins ,30 mins ,50 mins,6," Pour beans into a multi-functional pressure cooker (such as Instant Pot). Cover with a few inches of cool water. Close and lock the lid. Select Manual; set timer for 21 minutes on high pressure according to manufacturer's instructions. Allow 10 to 15 minutes for pressure to build. Release pressure using the natural-release method according to the manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid. Drain beans and let cool.","Bring water, carrots, potatoes, onion, salsa, and bouillon cubes to a boil in a large stockpot. Reduce heat and cook, stirring occasionally, at a medium simmer for 10 minutes. Overhead shot of a pot with broth and vegetables cooking for Albondigas Mix together beef, bread crumbs, and milk in a bowl. Overhead shot of ground meat in a mixing bowl for meatballs. Form into 1-inch meatballs and drop into broth. Bring soup to a boil, then reduce heat to medium-low. Overhead shot of meatballs and vegetables cooking in broth for albondigas soup. Cover and cook until meatballs are no longer pink in the center and vegetables are tender about 20 minutes."
Mexican ,Green Chicken Tamales ,45 mins,1 hr 30 mins (additional 15 mins ),2 hrs 30 mins,35,"1 quart water, 4 carrots, sliced, 2 small potatoes, peeled and diced, 1 medium onion, diced, 1 1/2 cups salsa, medium or hot, 2 beef bouillon cubes, 1 1/2 pounds ground beef, 1/3 cup seasoned dry bread crumbs, 1/3 cup milk, 1 tablespoon chopped fresh cilantro","Step 1. Place corn husks in a bowl, cover with boiling water and soak for 30 to 60 minutes. Drain, place on a work surface, and cover with a clean, damp towel.  Step 2: Place chicken in a pot, season with salt, and cover with water. Bring to a boil over medium-high heat, reduce heat, cover, and simmer until chicken is cooked through, 20 to 25 minutes. Drain chicken and shred with 2 forks. Step 3:  Place tomatillo and serrano peppers in a pot while chicken is cooking, cover with water, and bring to a boil. Cook until tomatillos are soft and have changed color, but are not falling apart, 3 to 5 minutes. Step 4:   Combine tomatillos, serrano peppers, onion, cilantro, and garlic in a blender; blend into a smooth sauce. Step 5:  Heat 1 tablespoon butter in a saucepan over medium heat and add tomatillo sauce. Cook until sauce has slightly thickened, 3 to 5 minutes. Add shredded chicken and season the filling with salt. Step 6:  Beat remaining butter in a large bowl with an electric mixer until creamy. Add chicken broth, masa harina, baking powder, and 1 1/2 teaspoons salt and beat well until combined and the consistency of cookie dough. Test if the masa is ready by dropping a small ball of masa into a glass of cold water; if it floats, it's ready, if not, keep beating for a little longer.  Step 7: Select 1 wide corn husk or 2 small ones. Spread about 2 tablespoons of masa mixture onto the the corn husk, filling it up to 2 inches from the bottom and 1/4 inch from the top. Add 1 tablespoon of filling down the center of the masa mixture. Fold sides of husk together, one over the other. Fold the bottom of the husk over the seam of the 2 folded sides. Repeat with remaining husks. Step 8:  Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add tamales with the open side up and cook until filling is heated through and separates from the husk, about 1 hour. Let tamales stand for 15 minutes before serving."
Indian ,Chicken Tikka Masala,30 mins ,50 mins (Additional 1hr) ,2 hrs 20 mins,4,"1 cup yogurt, 1 tablespoon lemon juice, 4 teaspoons ground cumin, divided, 1 teaspoon ground cinnamon, 2 teaspoons cayenne pepper, 2 teaspoons freshly ground black pepper, 1 tablespoon minced fresh ginger, 2 teaspoons salt, divided, or more to taste, 3 boneless skinless chicken breasts, cut into bite-size pieces, 4 long skewers, 1 tablespoon butter, 1 clove garlic, minced, 1 jalapeno pepper, finely chopped, 2 teaspoons paprika, 1 (8 ounces) can tomato sauce, 1 cup heavy cream, ¼ cup chopped fresh cilantro","Combine yogurt, lemon juice, 2 teaspoons cumin, cinnamon, cayenne, black pepper, ginger, and 1 teaspoon salt in a large bowl. Overhead of Tikka Masala sauces being whisked together in a bowl. Stir in chicken, cover, and refrigerate for 1 hour. Cuts of chicken covered and marinating in a Tikka Masala mixture in a bowl. Preheat a grill for high heat. Lightly oil the grill grate. Thread chicken onto skewers, and discard marinade. Overhead of two raw chicken skewers sitting in a baking sheet. Grill until juices run clear, about 5 minutes on each side. Two chicken skewers cooking on a grill.  Melt butter in a large heavy skillet over medium heat. Sauté garlic and jalapeño for 1 minute. Season with remaining 2 teaspoons cumin, paprika, and remaining 1 teaspoon salt. Stir in tomato sauce and cream. Simmer on low heat until sauce thickens, about 20 minutes. Overhead of Tikka Masala sauce cooking in a sauce pan. Add grilled chicken, and simmer for 10 minutes. Transfer to a serving platter, and garnish with fresh cilantro. Overhead of grilled chicken cooking in a tikka masala sauce.Serve over rice."
Indian ,Palak Paneer Curry ,15 mins,30 mins,45 mins,2,"5      cups fresh spinach, 4 tablespoons canola oil, divided, 1 teaspoon cumin seeds, 1 onion, chopped, 1 green chile pepper, chopped, 3 cloves garlic, minced, 1 (1/2 inch) piece ginger, minced, 2 tomatoes, diced, ½ cup water, or as needed, 1 teaspoon coriander powder, 1 teaspoon cumin powder, ½ teaspoon red chili powder, ¼ teaspoon turmeric powder, salt to taste, 8 ounces paneer, cubed, ½ teaspoon garam masala, 4 teaspoons heavy cream, 1 pinch red chili flakes","Bring a saucepan of water to a boil. Add spinach and cook for 1 minute. Transfer to a bowl of ice water to keep the spinach bright green. Heat 2 tablespoons oil in a skillet over medium heat. Add cumin seeds to hot oil so they sizzle. Add onion, chili, garlic, and ginger. Cook until the onion is golden brown, 3 to 5 minutes. Add tomatoes and cook until soft, about 2 minutes more. Remove from heat and allow the mixture to cool. Transfer tomato mixture to a blender; add blanched spinach. Blend to a thick, smooth paste; thin with a few teaspoons of water if needed. Heat the remaining oil in the skillet over medium heat. Add coriander, cumin, chili powder, and turmeric. Fry until fragrant, about 1 minute. Add spinach paste and cook over medium-high heat for 2 minutes. Add water and cook for 5 minutes more. Season gravy with salt. Add paneer to the gravy and mix well to coat. Cook 5 minutes more. Add garam masala and cream. Stir and cook over low heat for 2 minutes. Garnish with chili flakes."
Indian ,Tandoori Chicken ,25 mins,20 mins (Additional 6 hrs 20 mins),7 hrs 5 mins,4,"2 pounds chicken, cut into pieces, 1 medium lemon, juiced, 1 teaspoon salt","Gather all the ingredients to make Indian tandoori chicken. Remove and discard skin from chicken pieces. Cut slits into meat and place into a shallow dish. Season chicken on both sides with lemon juice and salt. Let sit for 20 minutes. sliced and seasoned chicken sitting in a baking dish. Mix yogurt, onion, garlic, garam masala, ginger, and cayenne pepper together in a medium bowl until smooth, then stir in food coloring. yogurt mixture ingredients being combined in a small bowl. Spread yogurt mixture over chicken, cover, and refrigerate for 6 to 24 hours (the longer the better). yogurt mixture spread over chicken. When ready to cook, preheat an outdoor grill for medium-high heat and lightly oil the grate. Remove chicken from marinade. Discard remaining marinade. Cook chicken on the preheated grill until no longer pink and the juices run clear. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C). An overhead view of tandoori style bone in chicken being cooked on a hot grill. Garnish with cilantro and lemon wedges. "
Indian ,Easy Naan,20 mins,30 mins( Additional 1 hr 40 mins),2 hrs 30 mins,12,"1 cup warm water, 2 ½ teaspoons active dry yeast, 2 tablespoons sugar, or more to taste, 3 tablespoons milk, 1 egg, beaten, 2 teaspoons salt, or to taste, 5 ½ cups bread flour, or as needed, 2 cloves garlic, minced (Optional), ¼ cup butter, melted","Combine water, yeast, and sugar in a large bowl. Let stand until bubbly and frothy, about 10 minutes. Stir in milk, egg, salt, and enough flour to make a soft dough. Knead dough on a lightly floured surface until smooth, 6 to 8 minutes. Place dough into a well oiled bowl, cover with a damp cloth, and set aside to rise until the dough has doubled in volume, about 1 hour. Punch down dough and knead well. For garlic naan, knead in garlic at this point Pinch off small handfuls of dough about the size of golf balls. Roll into balls, cover with a clean cloth, and allow to rise until doubled in size, about 30 minutes. Set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Roll out 2 balls of dough into elongated ovals. Place on an ungreased baking sheet and cook under the broiler until lightly browned, about 2 minutes. Brush butter on both sides and flip. Continue broiling until the second side is firm and golden, 2 minutes more. Repeat with remaining dough."
Indian ,Easy Vegetarian Kofta Curry,10 mins,25 mins,25 mins,6,"1 tablespoon olive oil, 1 tablespoon butter, 1 teaspoon cumin seeds, 3 green cardamom pods, 2 whole cloves, 1 cinnamon stick, 1 bay leaf, ½ onion, grated, 1 (2 inch) piece ginger root, peeled and grated, 1 clove garlic, crushed, 1 (14.5 ounce) can diced tomatoes, 1 teaspoon ground coriander, ½ teaspoon ground turmeric, ½ teaspoon ground cumin, ½ teaspoon garam masala, ½ teaspoon cayenne pepper (Optional), ½ teaspoon salt, or to taste, ¼ cup whole milk yogurt, 24 frozen meatless vegetable meatballs (such as IKEA's frozen vegetable balls), ¼ cup hot water, or as needed","Heat olive oil and butter in a large saucepan over medium heat. Add cumin seeds, cardamom pods, whole cloves, cinnamon stick, and bay leaf. Cook until spices start to sputter, about 1 minute. Stir in onion, ginger, and garlic. Cook and stir until onion is softened and just starting to brown, about 5 minutes. Stir in diced tomatoes, coriander, turmeric, cumin, garam masala, cayenne, and salt. Bring mixture to a gentle simmer; add yogurt and stir well. Add frozen vegetable balls. Pour in hot water to thin sauce slightly to desired consistency. Bring mixture back to a simmer and cook, covered, until sauce is thickened and vegetable balls are heated through, 10 to 15 minutes. TIPS : The vegetable balls from Ikea are vegan, so you can easily make this a vegan curry by using just oil instead of butter and using coconut cream instead of yogurt. I make this family friendly and less spicy by omitting cayenne pepper. It is still totally delicious."
Thai,Spicy Thai Basil Chicken ,15 mins,10 mins,25 mins,2,"cup chicken broth, 1 tablespoon oyster sauce, 1 tablespoon soy sauce, or as needed, 2 teaspoons fish sauce, 1 teaspoon white sugar, 1 teaspoon brown sugar, 2 tablespoons vegetable oil, 1 pound skinless, boneless chicken thighs, coarsely chopped, 1/4 cup sliced shallots, 4 cloves garlic, minced, 2 tablespoons minced Thai chilies, Serrano, or other hot pepper, 1 cup very thinly sliced fresh basil leaves, 2 cups hot cooked rice","Gather ingredients. A top down view looking at ingredients for spicy basil chicken gathered in small glass bowls on a marble countertop. Whisk chicken broth, oyster sauce, soy sauce, fish sauce, white sugar, and brown sugar together in a bowl until well blended. Heat large skillet over high heat. Drizzle in oil. Add chicken and stir fry until it loses its raw color, 2 to 3 minutes. A chicken being added to a hot skillet; stir fried until cooked through. Stir in shallots, garlic, and sliced chilies. Continue cooking on high heat until some of the juices start to caramelize in the bottom of the pan, about 2 or 3 more minutes. shallots, garlic, and sliced chilies added to chicken being stir fried in a hot skillet. Add about a tablespoon of the sauce mixture to the skillet; cook and stir until sauce begins to caramelize, about 1 minute. A top down view of a tablespoon of sauce being added to a skillet of chicken and vegetables being stir fried. Pour in the rest of the sauce. Cook and stir until sauce has deglazed the bottom of the pan. Continue to cook until sauce glazes onto the meat, 1 or 2 more minutes. Remove from heat. View of spicy chicken stir fry with a bowl of fresh basil waiting to be added.  Stir in basil. Cook and stir until basil is wilted, about 20 seconds. Serve with rice."
Thai,Chicken Satay,25 mins,10 mins (Additional : 2 hrs),2 hrs 35 mins,5,"1/2 cup coconut milk, 1 clove garlic, minced, 1 1/2  teaspoons brown sugar, 1 teaspoon curry powder, ½ teaspoon salt, ½ teaspoon ground black pepper, ¾ pound skinless, boneless chicken breast halves - cut into 1 inch strips, 10 (6 inches) wooden skewers, or as needed, soaked in water for 30 minutes. Peanut Sauce: 1 cup coconut milk, ¾ cup chicken stock, ½ cup creamy peanut butter, ¼ cup brown sugar, 1 tablespoon curry powder, 2 tablespoons lime or lemon juice, 1 teaspoon soy sauce, salt to taste. ","Make the chicken: Whisk coconut milk, garlic, brown sugar, curry powder, salt, and pepper together in a large glass or ceramic bowl. Add chicken and toss to evenly coat. Cover the bowl with plastic wrap and marinate in the refrigerator for at least 2 hours. Preheat an outdoor grill for medium-high heat and lightly oil the grate. Remove chicken from marinade and shake off excess. Thread marinated chicken onto skewers; discard remaining marinade. Make the peanut sauce: Whisk coconut milk, chicken stock, peanut butter, brown sugar, and curry powder together in a saucepan over medium-high heat until simmering. Reduce the heat and simmer, whisking constantly, until smooth and thickened, about 5 minutes. Remove from the heat and stir in lime juice, soy sauce, and salt. While the sauce is coming to a simmer, cook chicken skewers on the preheated grill until no longer pink in the center and the juices run clear, 4 to 5 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Serve skewers with warm peanut sauce."
Thai,Sukhothai Pad Thai ,10 mins,10 mins,30 mins,8,"1/2 cup white sugar, 1/2 cup distilled white vinegar, 1/4 cup soy sauce, 2 tablespoons tamarind pulp, 1 (12 ounces) package dried rice noodles, 1/2  cup vegetable oil, 1 1/2  teaspoons minced garlic, 4 eggs, 1 (12 ounces) package firm tofu, cut into 1/2 inch strips, 1 1/2  tablespoons white sugar,1 1/2 teaspoons salt, 1 1/2 cups ground peanuts, 1 1/2 teaspoons ground, dried oriental radish, 1/2 cup chopped fresh chives, 1 tablespoon paprika, 2 cups fresh bean sprouts, 1 lime, cut into wedges. ","To prepare pad thai sauce: In a medium saucepan over medium heat, blend sugar, vinegar, soy sauce, and tamarind pulp. To make pad thai: Soak rice noodles in cold water until soft; drain. In a large skillet or wok over medium heat, warm oil and add garlic and eggs; scramble eggs. Add tofu and stir until well mixed; add noodles and stir until cooked. Stir in pad Thai sauce, 1 1/2 tablespoons sugar, and 1 1/2 teaspoons salt. Stir in peanuts and ground radish. Remove from heat and add chives and paprika. Serve with lime and bean sprouts on the side. "
Thai, Thai -style Tilapia ,15 mins,20 mins,35 mins,4,"1/2 cup coconut milk,6 whole almonds, 2 tablespoons chopped white onion, 1 teaspoon ground ginger, 1/2 teaspoon ground turmeric, 1 teaspoon chopped fresh lemon grass, 1/4 teaspoon salt, 4 (4 ounce) fillets tilapia, salt and pepper to taste,1/2 teaspoon red pepper flakes, or to taste","In a food processor or blender, combine the coconut milk, almonds, onion, ginger, turmeric, lemon grass, and 1/4 teaspoon of salt. Process until smooth. Heat a large non-stick skillet over medium-high heat. Season the fish fillets with salt and pepper on both sides, then place them skin-side up in the skillet. Pour the pureed sauce over the fish. Use a spatula to coat the fish evenly with the sauce. Sprinkle with red pepper flakes. Reduce heat to medium, cover, and simmer for about 15 minutes, until the puree is thickened and fish flakes easily with a fork."
Thai, Thai-style Shrimp ,10 mins,20 mins,30 mins,4,"4 cloves garlic, peeled, 1 (1 inch) piece fresh ginger root, 1 fresh jalapeno pepper, seeded, ½ teaspoon salt, ½ teaspoon ground turmeric, 2 tablespoons vegetable oi, 1 medium onion, diced, 1 pound medium shrimp - peeled and deveined, 2 tomatoes, seeded and diced, 1 cup coconut milk, 3 tablespoons chopped fresh basil leaves","Combine the garlic, ginger, jalapeno, salt and turmeric in the container of a food processor or blender. Process to a smooth paste. Set aside. Heat oil in a skillet over medium heat. Add onion, and cook until translucent, stirring frequently. Mix in the spice paste, and cook for a few minutes to release the oils. Add shrimp, and cook for a few minutes until pink, then add the tomatoes and coconut milk. Cover, and simmer for about 5 minutes, then remove the lid and simmer an additional 5 minutes to thicken the sauce. Stir in the fresh basil during the last minute of cooking."
