Cuisines,Dishes,PrepTime,CookTime,TotalTime,Servings,Ingredients,Directions
Vegan,Vegan Japchae Korean Noodles,15 mins,12 mins,27 mins,4,"1 (12 ounce) package Korean sweet potato noodles (dangmyun) , 5 teaspoons sesame oil, divided , ¼ cup soy sauce, 4 teaspoons white sugar, 1 tablespoon vegetable oil, 3 carrots, cut into matchsticks , 1 onion, thinly sliced, 1 cup shiitake mushrooms, sliced , 6 green onions, chopped, 4 cloves garlic, minced, 1 (16 ounce) bag fresh spinach, 1 tablespoon sesame seeds (Optional)",", Fill a large pot with lightly salted water and bring to a rolling boil; stir in noodles and return to a boil. Cook noodles uncovered, stirring occasionally, until tender yet firm to the bite, about 5 minutes. Drain and rinse with cold water. Toss noodles with 2 teaspoons of sesame oil in a bowl. Cut into shorter pieces using kitchen shears. Set aside. Combine soy sauce and sugar in a bowl; set aside. Heat vegetable oil in a skillet over medium-high heat. Sauté carrots and onion until soft, about 1 minute. Add mushrooms, green onions, and garlic. Sauté until fragrant, about 30 seconds. Add noodles, soy sauce mixture, and spinach. Cook and stir until noodles are heated through, 2 to 3 minutes more. Remove the skillet from heat. Toss in the remaining 1 tablespoon sesame oil and sesame seeds."
Vegan,Vegan Carrot Curry Soup,10 mins,25 mins,35 mins,8,"4 cups vegetable broth, 2 teaspoons curry powder, 1 teaspoon ground cumin, ½ teaspoon ground cinnamon, ½ teaspoon ground ginger, 2 pounds carrots, peeled and chopped, 1 (14 ounce) can coconut milk, 14 ounces water, 1 teaspoon chopped fresh cilantro (Optional)","Pour the vegetable broth into a soup pot, and bring to a boil over medium heat. Stir in the curry powder, cumin, cinnamon, and ginger; add the carrots. Reduce heat to a simmer, and cook until the carrots are tender, about 20 minutes, stirring often.Strain out the carrots from the broth, and place carrots into a blender, filling the pitcher no more than halfway full. Pour about 1/4 cup vegetable broth into the blender to allow the carrots to puree. Hold down the lid of the blender with a folded kitchen towel, and carefully start the blender, using a few quick pulses to get the carrots moving before leaving it on to puree. Puree in batches until smooth, if needed; return the pureed carrots to the vegetable broth. Alternately, you can use a stick blender and puree the carrots right in the cooking pot. Stir in the coconut milk and the water (use the coconut milk can to measure). Bring back to a simmer; sprinkle with cilantro to serve."
Vegan,Vegan Black Bean Burgers,15 mins,20 mins,35 mins,4,"1 (15 ounces) can black beans, drained and rinsed, 3 baby carrots, grated (Optional), ⅓ cup chopped sweet onion, ¼ cup minced green bell pepper (Optional), 1 tablespoon minced garlic, 3 tablespoons chile-garlic sauce (such as Sriracha®), or to taste, 1 tablespoon cornstarch, 1 tablespoon warm water, 1 teaspoon chili powder, 1 teaspoon ground cumin, 1 teaspoon seafood seasoning (such as Old Bay®), ¼ teaspoon salt, ¼ teaspoon ground black pepper, 2 slices whole-wheat bread, torn into small crumbs, ¾ cup unbleached flour, or as needed","Preheat the oven to 350 degrees F (175 degrees C). Grease a baking sheet. Mash black beans in a bowl. Add carrots, onion, bell pepper, and garlic; mix well. Whisk chile-garlic sauce, cornstarch, water, chili powder, cumin, seafood seasoning, salt, and black pepper together in a separate small bowl. Stir chile-garlic sauce mixture into black bean mixture; mix in breadcrumbs. Stir flour, 1/4 cup at a time, into bean mixture until a sticky batter forms. Spoon mounds of batter onto the prepared baking sheet, about a 3/4-inch thickness per mound; shape into burgers. Bake in the preheated oven until cooked in the center and crisp on the outside, about 10 minutes per side."
Vegan,Focaccia Bread,20 mins,15 mins(add 25 mins,1 hr,12,"2 ¾ cups all-purpose flour, 1 tablespoon active dry yeast, 1 teaspoon salt, 1 teaspoon white sugar, 1 teaspoon garlic powder, 1 teaspoon dried oregano, 1 teaspoon dried thyme, ½ teaspoon dried basil, 1 pinch ground black pepper, 1 cup water, 1 tablespoon vegetable oil, 2 tablespoons olive oil, 1 cup mozzarella, 1 tablespoon grated Parmesan cheese.","Combine flour, yeast, salt, sugar, garlic powder, oregano, thyme, basil, and black pepper in a large bowl. Add water and vegetable oil, then mix until dough comes together. Overhead of focaccia bread ingredients resting in a bowl waiting to me mixed. Overhead of focaccia dough resting in a mixing bowl. Turn dough out onto a lightly floured surface and knead until smooth and elastic. Overhead of focaccia dough kneaded and resting on a floured surface. Lightly oil a large bowl; place the dough in the bowl and turn to coat with oil. Cover with a clean, damp cloth and let rise in a warm place for 20 minutes. Overhead of focaccia dough that has risen and is resting in a bowl. Preheat the oven to 450 degrees F (230 degrees C). Lightly grease a baking sheet. Punch dough down and place on prepared baking sheet. Pat into a 1/2 inch thick rectangle. Brush top with olive oil and sprinkle with mozzarella and Parmesan cheese. Overhead of focaccia dough covered in olive oil and Parmesan cheese resting on a baking sheet. Bake in the preheated until golden brown, about 15 minutes. Cut into 12 pieces and serve warm."
Vegan,Air Fryer Brussels Sprouts,1 mins,5 mins(add 15 mins),30 mins,6,"1 ½ pounds Brussels sprouts, 2 tablespoons olive oil, 1 teaspoon garlic powder, 1 teaspoon salt, ½ teaspoon ground black pepper","Preheat an air fryer to 390 degrees F (200 degrees C) for 15 minutes. While the air fryer is preheating, trim Brussels sprouts. Place in a bowl with olive oil, garlic powder, salt, and pepper in a bowl and mix well. Spread sprouts evenly in the air fryer basket. Cook in the preheated air fryer for 15 minutes, checking and shaking the basket halfway through the cycle."
Gluten-Free,Zucchini Pizza Bites,10 mins,20 mins, 30 mins,6,"2 zucchini, sliced into 1/4-inch thick rounds, 1/4 cup pizza sauce, or more to taste, 20 slices pepperoni, or more to taste, 1/2 cup shredded mozzarella cheese, or as needed, Italian seasoning, dried parsley, or oregano for sprinkling (Optional)","Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper.Spread zucchini slices in 1 layer on the prepared baking sheet. Bake in the preheated oven until zucchini is tender, about 15 minutes. Spoon pizza sauce over each zucchini slice and top with pepperoni and mozzarella cheese. Sprinkle herbs over each. Bake in the preheated oven until cheese is melted, about 5 minutes more."
Gluten-Free,Salmon and Swiss Chard Quiche,15 mins,40 mins,1 hr 5 mins,6,"cooking spray, 1 tablespoon olive oil, ½ bunch Swiss chard, chopped, 1 ½ cups sliced button mushrooms, ⅓ cup chopped onion, 2 tablespoons smoked salmon, 3 large eggs, 1 ½ cups low-fat milk, ¼ teaspoon salt, ¼ teaspoon ground nutmeg, ⅛ teaspoon freshly ground black pepper, chopped fresh chives for garnish (Optional)","Preheat the oven to 350 degrees F (175 degrees C). Coat a 9-inch pie plate with nonstick cooking spray. Heat oil in a large skillet over medium heat. Add Swiss chard, mushrooms, and onion. Cook, stirring occasionally, until tender and most of the liquid has evaporated, about 10 minutes. Spread chard mixture on bottom of prepared pie plate. Break salmon into pieces and arrange evenly over chard. Whisk together eggs, milk, salt, nutmeg, and pepper in a bowl. Pour over salmon. Bake until a knife inserted in center comes out clean, 28 to 30 minutes. Cool about 10 minutes before cutting into wedges. Top with chives (if using)"
Gluten-Free,Juicy Roasted Chicken,15 mins,1 hr 15 mins,2 hrs,6,"1 (3 pound) whole chicken, giblets removed, salt and black pepper to taste, 1 tablespoon onion powder, or to taste, ½ cup butter or margarine, 1 stalk celery, leaves removed","Preheat the oven to 350 degrees F (175 degrees C). Place chicken in a roasting pan; season generously inside and out with onion powder, salt, and pepper. Place 3 tablespoons of butter in chicken cavity; arrange dollops of remaining butter on the outside of chicken. Cut celery into 3 or 4 pieces; place in the chicken cavity. Bake chicken uncovered in the preheated oven until no longer pink at the bone and the juices run clear, about 1 hour and 15 minutes. An instant-read thermometer inserted into the thickest part of the thigh, near the bone, should read 165 degrees F (74 degrees C). Remove from the oven and baste with drippings. Cover with aluminum foil and allow to rest for about 30 minutes before serving."
Gluten-Free,Grilled Sea Bass,20 mins,20 mins.,40 mins,6,"¼ teaspoon garlic powder, ¼ teaspoon onion powder, ¼ teaspoon paprika, lemon pepper to taste, sea salt to taste, 2 pounds sea bass, 3 tablespoons butter, 2 large cloves garlic, chopped, 1 tablespoon chopped Italian flat leaf parsley, 1 ½ tablespoons extra virgin olive oil"," Gather all ingredients. Preheat the grill for high heat. In a small bowl, stir together the garlic powder, onion powder, paprika, lemon pepper, and sea salt. Sprinkle seasonings onto the fish. In a small saucepan over medium heat, melt the butter with the garlic and parsley. Remove from heat when the butter has melted, and set aside. Lightly oil grill grate. Grill fish for 7 minutes, then turn and drizzle with butter. Continue cooking for 7 minutes, or until easily flaked with a fork. Drizzle with olive oil before serving. "
Gluten-Free,Pesto Spaghetti Squash,25 mins , 1 hr 5 mins,1 hr 40 mins,6,"1 spaghetti squash, halved lengthwise and seeded, 3 tablespoons butter, divided, 1 onion, sliced, 1 cup kale, stems removed and leaves chopped, 4 white mushrooms, slice, 1 teaspoon garlic salt, 1 teaspoon Italian seasoning, 1 teaspoon red pepper flakes, 1 teaspoon olive oil, 2 tablespoons prepared pesto, ¼ cup grated Parmesan cheese","Preheat the oven to 400 degrees F (200 degrees C). Grease a baking sheet. Place squash skin-side down on prepared baking sheet. Bake until cooked through, about 1 hour. Remove from oven; cool for 10 minutes. Once squash is cool enough to handle, scrape flesh into string-like strands with a fork. Place in a bowl and set aside. Melt 1 tablespoon of butter in a large skillet over medium-high heat. Add onion; cook and stir until onion begins to turn translucent. Stir in kale and mushrooms; reduce heat to medium low. Stir in squash, remaining 2 tablespoons butter, garlic salt, Italian seasoning, and red pepper flakes; cook for 2 minutes. Remove from stove and place squash mixture in a large bowl. Stir olive oil and pesto into the squash mixture. Slowly add grated Parmesan cheese, stirring until evenly mixed."
Paleo-Diet,Paleo Applesauce Pancakes,10 mins,5 mins,30 mins,6,"2 eggs, ⅓ cup applesauce, ½ teaspoon vanilla extract, ½ cup almond flour, ⅓ cup tapioca flour, ½ teaspoon ground cinnamon, ½ teaspoon baking soda, 1 pinch salt, 3 tablespoons water, or as needed, 1 ½ teaspoons coconut oil, or as needed."," Whisk eggs lightly in a large bowl. Add applesauce and vanilla extract; mix to combine. Combine almond flour, tapioca flour, cinnamon, baking soda, and salt in a separate bowl. Add to egg mixture; mix until just combined. Add water until batter is desired thickness. Set batter aside to rest for 15 minutes. Melt coconut oil on a griddle over medium-high heat. Drop batter by large spoonfuls onto the griddle and cook until bubbles form and the edges are dry, 3 to 4 minutes. Flip and cook until browned on the other side, 2 to 3 minutes. Repeat with remaining batter."
Paleo-Diet,Butternut Squash Paleo (Porridge),10 mins,50 mins,1 hr,3,"1 butternut squash, halved and seeded, water as needed, ¼ cup coconut milk, or to taste, ½ teaspoon ground cinnamon, 1 tablespoon chopped walnuts","Preheat oven to 350 degrees F (175 degrees C). Place butternut squash halves, cut-side up, in a baking dish; fill dish with 1/4 inch of water. Bake in the preheated oven until softened, 50 to 60 minutes. Cool squash. Scoop squash flesh into a bowl and mash with a fork or potato masher until smooth. Stir coconut milk and cinnamon into squash, top with walnuts."
Paleo-Diet,Oaxacan Tacos,15 mins,10 mins,25 mins,9,"2 pounds top sirloin steak, cut into thin strips, salt and ground black pepper to taste, ¼ cup vegetable oil, 18 (6 inch) corn tortillas, 1 medium onion, diced, 4 medium fresh jalapeno peppers, seeded and chopped, 1 bunch fresh cilantro, chopped, 4 medium limes, cut into wedges","Heat a large skillet over medium-high heat. Saute steak in hot skillet until browned on the outside and cooked through, about 5 minutes. Season with salt and pepper. Remove to a plate and keep warm. Heat oil in the same skillet. Place a tortilla in the hot oil and cook, turning once, until tortilla is lightly browned and flexible. Repeat with remaining tortillas. Place tortillas on a plate and top each with steak, onion, jalapeno, and cilantro. Squeeze lime juice over the top."
Paleo-Diet,Spicy Beef Curry Stew for the Slow Cooker,15 mins,8 hrs 10 mins,8 hrs 25 mins,4,"1 tablespoon olive oil, 1 pound beef stew meat, salt and pepper to taste,2 cloves garlic, minced, 1 teaspoon chopped fresh ginger, 1 fresh jalapeno peppers, diced, 1 tablespoon curry powder, 1 (14.5 ounce) can diced tomatoes with juice,1 onion, sliced and quartered, 1 cup beef broth","Heat the olive oil in a skillet over medium heat, and brown the beef on all sides. Remove from skillet, reserving juices, and season with salt and pepper. Cook and stir the garlic, ginger, and jalapeno in the skillet for 2 minutes, until tender, and season with curry powder. Mix in the diced tomatoes and juice. Place the onion in the bottom of a slow cooker, and layer with the browned beef. Scoop the skillet mixture into the slow cooker, and mix in the beef broth. Cover, and cook 6 to 8 hours on Low."
Paleo-Diet,Tomato and Egg Stir Fry,5 mins,10 mins,15 mins,4,"2 tablespoons vegetable oil, 6 eggs, beaten, 1 green onion, chopped, 2 large tomatoes, cut into thin wedges, salt to taste.","Heat the oil in a large skillet over medium heat. When the oil is hot, add the eggs, and green onion; cook and stir until the eggs are almost solid. Add the tomatoes, and cook until eggs are firm. Season with salt, and serve."
